state,state_po,candidatevotes,totalvotes,gop_share,state_title,party_2020,bans
ALABAMA,AL,1441170,2323282,62.031643166864804,Alabama,Republican,0
ALASKA,AK,189951,359530,52.83314327038078,Alaska,Republican,1
ARIZONA,AZ,1661686,3387326,49.05598103046474,Arizona,Democrat,0
ARKANSAS,AR,760647,1219069,62.39572985614432,Arkansas,Republican,1
CALIFORNIA,CA,6006429,17500881,34.32072362528492,California,Democrat,0
COLORADO,CO,1364607,3279980,41.60412563491241,Colorado,Democrat,0
CONNECTICUT,CT,714717,1823857,39.187118288330716,Connecticut,Democrat,0
DELAWARE,DE,200603,504346,39.774876771105546,Delaware,Democrat,0
DISTRICT OF COLUMBIA,DC,18586,344356,5.397321376714795,District Of Columbia,Democrat,0
FLORIDA,FL,5668731,11067456,51.21981962250403,Florida,Republican,566
GEORGIA,GA,2461854,4999960,49.2374738997912,Georgia,Democrat,23
HAWAII,HI,196864,579784,33.95471416941482,Hawaii,Democrat,0
IDAHO,ID,554119,868014,63.837564831903634,Idaho,Republican,26
ILLINOIS,IL,2446891,6033743,40.55345081817372,Illinois,Democrat,5
INDIANA,IN,1729519,3033118,57.02115776570512,Indiana,Republican,18
IOWA,IA,897672,1700130,52.80019763194579,Iowa,Republican,8
KANSAS,KS,771406,1372303,56.212512834264736,Kansas,Republican,30
KENTUCKY,KY,1326646,2136768,62.08657186929044,Kentucky,Republican,0
LOUISIANA,LA,1255776,2148062,58.46088241400853,Louisiana,Republican,0
MAINE,ME,360737,828305,43.551228110418265,Maine,Democrat,1
MARYLAND,MD,976414,3037030,32.15029156774876,Maryland,Democrat,1
MASSACHUSETTS,MA,1167202,3658005,31.90815758863096,Massachusetts,Democrat,0
MICHIGAN,MI,2649852,5539302,47.83729069113762,Michigan,Democrat,41
MINNESOTA,MN,1484065,3277171,45.28494240916937,Minnesota,Democrat,1
MISSISSIPPI,MS,756764,1313759,57.60295457538255,Mississippi,Republican,22
MISSOURI,MO,1718736,3025962,56.79965577888949,Missouri,Republican,27
MONTANA,MT,343602,603674,56.91846924002027,Montana,Republican,0
NEBRASKA,NE,556846,956383,58.22416333205421,Nebraska,Republican,0
NEVADA,NV,669890,1405376,47.66624732455941,Nevada,Democrat,0
NEW HAMPSHIRE,NH,365654,806182,45.3562595046776,New Hampshire,Democrat,0
NEW JERSEY,NJ,1883274,4549353,41.396523857348505,New Jersey,Democrat,3
NEW MEXICO,NM,401894,923965,43.49666924612946,New Mexico,Democrat,0
NEW YORK,NY,3244798,8661735,37.46129384009093,New York,Democrat,13
NORTH CAROLINA,NC,2758773,5524802,49.93433248829551,North Carolina,Democrat,16
NORTH DAKOTA,ND,235595,361819,65.11404873707572,North Dakota,Republican,0
OHIO,OH,3154834,5922202,53.27130010087464,Ohio,Republican,4
OKLAHOMA,OK,1020280,1560699,65.37327184806296,Oklahoma,Republican,43
OREGON,OR,958448,2374321,40.367246046343354,Oregon,Democrat,1
PENNSYLVANIA,PA,3377674,6915283,48.84361204017247,Pennsylvania,Democrat,458
RHODE ISLAND,RI,199922,516990,38.670380471575854,Rhode Island,Democrat,1
SOUTH CAROLINA,SC,1385103,2514096,55.09348091719648,South Carolina,Republican,1
SOUTH DAKOTA,SD,261043,422609,61.76938967225024,South Dakota,Republican,5
TENNESSEE,TN,1852475,3053851,60.66029416628381,Tennessee,Republican,349
TEXAS,TX,5890347,11315056,52.05760360355265,Texas,Republican,801
UTAH,UT,865140,1488289,58.129839029919594,Utah,Republican,12
VERMONT,VT,112704,370968,30.38105712622113,Vermont,Democrat,1
VIRGINIA,VA,1962430,4460524,43.99550366728214,Virginia,Democrat,19
WASHINGTON,WA,1584651,4087631,38.766977743343276,Washington,Democrat,5
WEST VIRGINIA,WV,545382,794652,68.63155192461606,West Virginia,Republican,0
WISCONSIN,WI,1610184,3298041,48.822437319608824,Wisconsin,Democrat,29
WYOMING,WY,193559,278503,69.49978994840271,Wyoming,Republican,0
