state,ban_type,count
Alaska,Banned in Libraries and Classrooms,1
Arkansas,Banned in Libraries and Classrooms,1
Florida,Banned Pending Investigation,366
Florida,Banned in Classrooms,1
Florida,Banned in Libraries,73
Florida,Banned in Libraries and Classrooms,126
Georgia,Banned Pending Investigation,1
Georgia,Banned in Classrooms,1
Georgia,Banned in Libraries,8
Georgia,Banned in Libraries and Classrooms,13
Idaho,Banned in Libraries,1
Idaho,Banned in Libraries and Classrooms,25
Illinois,Banned Pending Investigation,1
Illinois,Banned in Classrooms,1
Illinois,Banned in Libraries,2
Illinois,Banned in Libraries and Classrooms,1
Indiana,Banned Pending Investigation,3
Indiana,Banned in Libraries,12
Indiana,Banned in Libraries and Classrooms,3
Iowa,Banned Pending Investigation,3
Iowa,Banned in Libraries,3
Iowa,Banned in Libraries and Classrooms,2
Kansas,Banned Pending Investigation,29
Kansas,Banned in Libraries and Classrooms,1
Maine,Banned in Libraries and Classrooms,1
Maryland,Banned in Libraries and Classrooms,1
Michigan,Banned Pending Investigation,39
Michigan,Banned in Classrooms,1
Michigan,Banned in Libraries,1
Minnesota,Banned Pending Investigation,1
Mississippi,Banned in Libraries,22
Missouri,Banned Pending Investigation,12
Missouri,Banned in Classrooms,1
Missouri,Banned in Libraries,10
Missouri,Banned in Libraries and Classrooms,4
New Jersey,Banned Pending Investigation,1
New Jersey,Banned in Classrooms,1
New Jersey,Banned in Libraries,1
New York,Banned Pending Investigation,10
New York,Banned in Libraries and Classrooms,3
North Carolina,Banned in Classrooms,12
North Carolina,Banned in Libraries,2
North Carolina,Banned in Libraries and Classrooms,2
Ohio,Banned Pending Investigation,2
Ohio,Banned in Classrooms,1
Ohio,Banned in Libraries and Classrooms,1
Oklahoma,Banned Pending Investigation,19
Oklahoma,Banned in Classrooms,5
Oklahoma,Banned in Libraries,9
Oklahoma,Banned in Libraries and Classrooms,10
Oregon,Banned in Libraries,1
Pennsylvania,Banned Pending Investigation,9
Pennsylvania,Banned in Classrooms,443
Pennsylvania,Banned in Libraries,3
Pennsylvania,Banned in Libraries and Classrooms,3
Rhode Island,Banned in Libraries and Classrooms,1
South Carolina,Banned in Libraries and Classrooms,1
South Dakota,Banned in Libraries and Classrooms,5
Tennessee,Banned Pending Investigation,317
Tennessee,Banned in Classrooms,3
Tennessee,Banned in Libraries,6
Tennessee,Banned in Libraries and Classrooms,23
Texas,Banned Pending Investigation,533
Texas,Banned in Classrooms,16
Texas,Banned in Libraries,163
Texas,Banned in Libraries and Classrooms,89
Utah,Banned Pending Investigation,9
Utah,Banned in Libraries,2
Utah,Banned in Libraries and Classrooms,1
Vermont,Banned Pending Investigation,1
Virginia,Banned Pending Investigation,14
Virginia,Banned in Libraries,1
Virginia,Banned in Libraries and Classrooms,4
Washington,Banned Pending Investigation,5
Wisconsin,Banned in Classrooms,1
Wisconsin,Banned in Libraries,17
Wisconsin,Banned in Libraries and Classrooms,11
