title,author,state,district,ban_type,origin,date,year,month
Sloppy Firsts (Jessica Darling Series),"McCafferty, Megan",Florida,Walton County School District,Banned Pending Investigation,Administrator,2022-04-01,2022,2022-04
Outlander (Outlander Series),"Gabaldon, Diana",Florida,Walton County School District,Banned Pending Investigation,Administrator,2022-04-01,2022,2022-04
Gender Queer: A Memoir,"Kobabe, Maia",Florida,Osceola County School District,Banned Pending Investigation,Administrator,2022-04-01,2022,2022-04
The Family Fletcher Takes Rock Island (Family Fletcher Series),"Levy, Dana Alison",Florida,Jackson County School District,Banned in Libraries and Classrooms,Administrator,2022-04-01,2022,2022-04
Thirteen Reasons Why,"Asher, Jay",Florida,Santa Rosa County District Schools,Banned Pending Investigation,Administrator,2022-04-01,2022,2022-04
The Truth About Alice: A Novel,"Mathieu, Jennifer",Florida,Walton County School District,Banned Pending Investigation,Administrator,2022-04-01,2022,2022-04
Looking for Alaska,"Green, John",Texas,Katy Independent School District,Banned in Libraries,Administrator,2022-04-01,2022,2022-04
Out of Darkness,"Perez, Ashley Hope",North Carolina,Moore County Schools,Banned in Libraries and Classrooms,Administrator,2022-04-01,2022,2022-04
I Am Not Your Perfect Mexican Daughter,"Sánchez, Erika L.",Mississippi,Madison County Schools,Banned in Libraries,Administrator,2022-04-01,2022,2022-04
Milk and Honey,"Kaur, Rupi",Texas,Killeen Independent School District,Banned in Libraries and Classrooms,Administrator,2022-04-01,2022,2022-04
Life is Funny,"Frank, ER",North Carolina,Moore County Schools,Banned in Libraries and Classrooms,Administrator,2022-04-01,2022,2022-04
Milk and Honey,"Kaur, Rupi",Texas,Frisco Independent School District,Banned in Libraries and Classrooms,Administrator,2022-04-01,2022,2022-04
The Bluest Eye,"Morrison, Toni",Florida,Santa Rosa County District Schools,Banned Pending Investigation,Administrator,2022-04-01,2022,2022-04
All Boys Aren't Blue,"Johnson, George M.",Florida,Osceola County School District,Banned Pending Investigation,Administrator,2022-04-01,2022,2022-04
