fiscal_quarter,total_obligations,q,yr,q_num,obligations_bn,administration
Q1 2017,4457190020.0,Q1,2017,1,4.45719002,Obama
Q2 2017,4583563312.04,Q2,2017,2,4.58356331204,Trump 1st
Q3 2017,8576210419.1,Q3,2017,3,8.5762104191,Trump 1st
Q4 2017,14161334529.93,Q4,2017,4,14.16133452993,Trump 1st
Q1 2018,4354950052.22,Q1,2018,1,4.35495005222,Trump 1st
Q2 2018,4374099966.73,Q2,2018,2,4.374099966729999,Trump 1st
Q3 2018,8779492966.89,Q3,2018,3,8.779492966889999,Trump 1st
Q4 2018,16141517253.28,Q4,2018,4,16.14151725328,Trump 1st
Q1 2019,4847976668.56,Q1,2019,1,4.84797666856,Trump 1st
Q2 2019,5269471533.45,Q2,2019,2,5.26947153345,Trump 1st
Q3 2019,9245943729.17,Q3,2019,3,9.24594372917,Trump 1st
Q4 2019,15457763572.25,Q4,2019,4,15.45776357225,Trump 1st
Q1 2020,4602701904.03,Q1,2020,1,4.60270190403,Trump 1st
Q2 2020,5573400700.61,Q2,2020,2,5.57340070061,Trump 1st
Q3 2020,21056442220.09,Q3,2020,3,21.056442220090002,Trump 1st
Q4 2020,16868092415.43,Q4,2020,4,16.86809241543,Trump 1st
Q1 2021,4828262928.14,Q1,2021,1,4.82826292814,Trump 1st
Q2 2021,38739740738.04,Q2,2021,2,38.73974073804,Biden
Q3 2021,36314948142.8,Q3,2021,3,36.314948142800006,Biden
Q4 2021,19734214617.56,Q4,2021,4,19.734214617560003,Biden
Q1 2022,9797676317.72,Q1,2022,1,9.797676317719999,Biden
Q2 2022,5030772630.71,Q2,2022,2,5.0307726307100005,Biden
Q3 2022,10479606274.17,Q3,2022,3,10.479606274170001,Biden
Q4 2022,18445988575.54,Q4,2022,4,18.44598857554,Biden
Q1 2023,4614404103.3,Q1,2023,1,4.6144041033,Biden
Q2 2023,6029913851.7,Q2,2023,2,6.0299138517,Biden
Q3 2023,10642444388.97,Q3,2023,3,10.642444388969999,Biden
Q4 2023,18130920416.84,Q4,2023,4,18.13092041684,Biden
Q1 2024,4837615259.77,Q1,2024,1,4.837615259770001,Biden
Q2 2024,5190278594.41,Q2,2024,2,5.19027859441,Biden
Q3 2024,10214465468.73,Q3,2024,3,10.21446546873,Biden
Q4 2024,19200420643.39,Q4,2024,4,19.20042064339,Biden
Q1 2025,5130439292.66,Q1,2025,1,5.13043929266,Biden
Q2 2025,3652323643.28,Q2,2025,2,3.6523236432800004,Trump 2nd
Q3 2025,7018974689.43,Q3,2025,3,7.01897468943,Trump 2nd
Q4 2025,22932614158.01,Q4,2025,4,22.932614158009997,Trump 2nd
Q1 2026,3573263181.05,Q1,2026,1,3.57326318105,Trump 2nd
Q2 2026,4212545507.18,Q2,2026,2,4.21254550718,Trump 2nd
Q3 2026,1573113887.66,Q3,2026,3,1.5731138876600002,Trump 2nd
