country_name,country_text_id,country_id,year,v2x_polyarchy,v2x_libdem,v2x_partipdem,v2x_delibdem,v2x_egaldem,v2x_regime,v2xca_academ,regime_label,rank
Russia,RUS,11,2010,0.306,0.135,0.183,0.239,0.227,1.0,0.581,Electoral Autocracy,5.0
Russia,RUS,11,2011,0.299,0.134,0.178,0.234,0.225,1.0,0.55,Electoral Autocracy,5.0
Russia,RUS,11,2012,0.278,0.122,0.168,0.204,0.216,1.0,0.475,Electoral Autocracy,5.0
Russia,RUS,11,2013,0.276,0.116,0.163,0.186,0.213,1.0,0.432,Electoral Autocracy,5.0
Russia,RUS,11,2014,0.264,0.109,0.156,0.142,0.206,1.0,0.386,Electoral Autocracy,5.0
Russia,RUS,11,2015,0.265,0.109,0.149,0.154,0.205,1.0,0.377,Electoral Autocracy,5.0
Russia,RUS,11,2016,0.263,0.106,0.148,0.146,0.204,1.0,0.352,Electoral Autocracy,5.0
Russia,RUS,11,2017,0.261,0.107,0.148,0.151,0.204,1.0,0.35,Electoral Autocracy,5.0
Russia,RUS,11,2018,0.264,0.107,0.152,0.16,0.201,1.0,0.341,Electoral Autocracy,5.0
Russia,RUS,11,2019,0.259,0.105,0.151,0.152,0.198,1.0,0.337,Electoral Autocracy,5.0
Russia,RUS,11,2020,0.255,0.097,0.177,0.142,0.194,1.0,0.329,Electoral Autocracy,5.0
Russia,RUS,11,2021,0.245,0.094,0.153,0.136,0.188,1.0,0.311,Electoral Autocracy,5.0
Russia,RUS,11,2022,0.206,0.07,0.135,0.077,0.158,1.0,0.239,Electoral Autocracy,5.0
Russia,RUS,11,2023,0.19,0.065,0.124,0.079,0.14,1.0,0.196,Electoral Autocracy,5.0
Russia,RUS,11,2024,0.171,0.057,0.121,0.05,0.129,1.0,0.21,Electoral Autocracy,5.0
Russia,RUS,11,2025,0.17,0.056,0.124,0.059,0.13,1.0,0.176,Electoral Autocracy,5.0
United States of America,USA,20,2010,0.9,0.848,0.652,0.859,0.728,3.0,0.923,Liberal Democracy,2.0
United States of America,USA,20,2011,0.896,0.845,0.65,0.857,0.726,3.0,0.923,Liberal Democracy,2.0
United States of America,USA,20,2012,0.896,0.842,0.649,0.856,0.726,3.0,0.921,Liberal Democracy,3.0
United States of America,USA,20,2013,0.905,0.852,0.657,0.865,0.734,3.0,0.921,Liberal Democracy,2.0
United States of America,USA,20,2014,0.901,0.848,0.653,0.86,0.73,3.0,0.921,Liberal Democracy,2.0
United States of America,USA,20,2015,0.9,0.848,0.653,0.854,0.728,3.0,0.921,Liberal Democracy,1.0
United States of America,USA,20,2016,0.885,0.83,0.642,0.812,0.708,3.0,0.912,Liberal Democracy,3.0
United States of America,USA,20,2017,0.834,0.749,0.599,0.625,0.653,3.0,0.908,Liberal Democracy,3.0
United States of America,USA,20,2018,0.824,0.739,0.589,0.625,0.635,3.0,0.905,Liberal Democracy,3.0
United States of America,USA,20,2019,0.818,0.74,0.584,0.623,0.631,3.0,0.905,Liberal Democracy,3.0
United States of America,USA,20,2020,0.815,0.734,0.581,0.587,0.625,3.0,0.889,Liberal Democracy,3.0
United States of America,USA,20,2021,0.821,0.756,0.583,0.722,0.6,3.0,0.766,Liberal Democracy,3.0
United States of America,USA,20,2022,0.833,0.769,0.594,0.737,0.606,3.0,0.748,Liberal Democracy,3.0
United States of America,USA,20,2023,0.857,0.789,0.614,0.752,0.61,3.0,0.695,Liberal Democracy,2.0
United States of America,USA,20,2024,0.843,0.751,0.602,0.745,0.612,3.0,0.677,Liberal Democracy,3.0
United States of America,USA,20,2025,0.735,0.571,0.51,0.481,0.472,2.0,0.397,Electoral Democracy,3.0
Chile,CHL,72,2010,0.888,0.837,0.577,0.793,0.659,3.0,0.961,Liberal Democracy,3.0
Chile,CHL,72,2011,0.889,0.839,0.58,0.807,0.664,3.0,0.954,Liberal Democracy,3.0
Chile,CHL,72,2012,0.893,0.844,0.581,0.803,0.669,3.0,0.964,Liberal Democracy,2.0
Chile,CHL,72,2013,0.894,0.846,0.58,0.794,0.672,3.0,0.964,Liberal Democracy,3.0
Chile,CHL,72,2014,0.893,0.85,0.59,0.82,0.675,3.0,0.964,Liberal Democracy,1.0
Chile,CHL,72,2015,0.886,0.839,0.589,0.819,0.665,3.0,0.964,Liberal Democracy,3.0
Chile,CHL,72,2016,0.886,0.839,0.591,0.816,0.659,3.0,0.964,Liberal Democracy,2.0
Chile,CHL,72,2017,0.889,0.842,0.59,0.801,0.664,3.0,0.964,Liberal Democracy,1.0
Chile,CHL,72,2018,0.87,0.803,0.573,0.775,0.64,3.0,0.964,Liberal Democracy,2.0
Chile,CHL,72,2019,0.829,0.761,0.559,0.744,0.613,2.0,0.953,Electoral Democracy,2.0
Chile,CHL,72,2020,0.837,0.766,0.597,0.736,0.596,2.0,0.953,Electoral Democracy,2.0
Chile,CHL,72,2021,0.841,0.777,0.592,0.774,0.616,3.0,0.943,Liberal Democracy,2.0
Chile,CHL,72,2022,0.833,0.776,0.591,0.769,0.608,3.0,0.953,Liberal Democracy,2.0
Chile,CHL,72,2023,0.836,0.779,0.594,0.771,0.613,3.0,0.907,Liberal Democracy,3.0
Chile,CHL,72,2024,0.845,0.786,0.595,0.773,0.625,3.0,0.922,Liberal Democracy,1.0
Chile,CHL,72,2025,0.839,0.781,0.574,0.771,0.64,3.0,0.918,Liberal Democracy,2.0
Germany,DEU,77,2010,0.898,0.862,0.652,0.867,0.836,3.0,0.962,Liberal Democracy,1.0
Germany,DEU,77,2011,0.9,0.864,0.654,0.87,0.84,3.0,0.962,Liberal Democracy,1.0
Germany,DEU,77,2012,0.899,0.863,0.652,0.868,0.838,3.0,0.962,Liberal Democracy,1.0
Germany,DEU,77,2013,0.892,0.853,0.647,0.86,0.835,3.0,0.962,Liberal Democracy,1.0
Germany,DEU,77,2014,0.885,0.845,0.641,0.852,0.821,3.0,0.962,Liberal Democracy,3.0
Germany,DEU,77,2015,0.883,0.845,0.639,0.85,0.827,3.0,0.962,Liberal Democracy,2.0
Germany,DEU,77,2016,0.888,0.848,0.643,0.854,0.83,3.0,0.962,Liberal Democracy,1.0
Germany,DEU,77,2017,0.889,0.842,0.644,0.855,0.832,3.0,0.962,Liberal Democracy,1.0
Germany,DEU,77,2018,0.881,0.834,0.637,0.843,0.824,3.0,0.965,Liberal Democracy,1.0
Germany,DEU,77,2019,0.878,0.831,0.635,0.841,0.821,3.0,0.965,Liberal Democracy,1.0
Germany,DEU,77,2020,0.87,0.821,0.629,0.834,0.801,3.0,0.963,Liberal Democracy,1.0
Germany,DEU,77,2021,0.863,0.814,0.622,0.824,0.802,3.0,0.963,Liberal Democracy,1.0
Germany,DEU,77,2022,0.855,0.806,0.616,0.816,0.794,3.0,0.96,Liberal Democracy,1.0
Germany,DEU,77,2023,0.855,0.812,0.616,0.814,0.794,3.0,0.936,Liberal Democracy,1.0
Germany,DEU,77,2024,0.825,0.778,0.59,0.786,0.762,3.0,0.88,Liberal Democracy,2.0
Germany,DEU,77,2025,0.828,0.782,0.593,0.79,0.766,3.0,0.877,Liberal Democracy,1.0
China,CHN,110,2010,0.094,0.057,0.047,0.16,0.106,0.0,0.233,Closed Autocracy,6.0
China,CHN,110,2011,0.094,0.056,0.048,0.163,0.107,0.0,0.233,Closed Autocracy,6.0
China,CHN,110,2012,0.094,0.056,0.048,0.164,0.105,0.0,0.188,Closed Autocracy,6.0
China,CHN,110,2013,0.086,0.053,0.042,0.152,0.097,0.0,0.131,Closed Autocracy,6.0
China,CHN,110,2014,0.084,0.052,0.042,0.152,0.094,0.0,0.123,Closed Autocracy,6.0
China,CHN,110,2015,0.082,0.052,0.04,0.149,0.095,0.0,0.118,Closed Autocracy,6.0
China,CHN,110,2016,0.08,0.052,0.038,0.149,0.095,0.0,0.086,Closed Autocracy,6.0
China,CHN,110,2017,0.078,0.052,0.04,0.138,0.098,0.0,0.086,Closed Autocracy,6.0
China,CHN,110,2018,0.076,0.048,0.037,0.128,0.094,0.0,0.086,Closed Autocracy,6.0
China,CHN,110,2019,0.075,0.047,0.037,0.118,0.094,0.0,0.082,Closed Autocracy,6.0
China,CHN,110,2020,0.075,0.042,0.037,0.116,0.09,0.0,0.074,Closed Autocracy,6.0
China,CHN,110,2021,0.077,0.044,0.037,0.116,0.091,0.0,0.073,Closed Autocracy,6.0
China,CHN,110,2022,0.075,0.042,0.037,0.096,0.082,0.0,0.064,Closed Autocracy,6.0
China,CHN,110,2023,0.074,0.037,0.033,0.101,0.082,0.0,0.064,Closed Autocracy,6.0
