country_name,country_text_id,country_id,year,v2x_polyarchy,v2x_libdem,v2x_partipdem,v2x_delibdem,v2x_egaldem,v2x_regime,v2xca_academ,regime_label
Mexico,MEX,3,2025,0.469,0.221,0.337,0.246,0.265,1.0,0.706,Electoral Autocracy
Suriname,SUR,4,2025,0.781,0.626,0.509,0.62,0.6,2.0,0.828,Electoral Democracy
Sweden,SWE,5,2025,0.889,0.853,0.635,0.817,0.802,3.0,0.934,Liberal Democracy
Switzerland,CHE,6,2025,0.882,0.843,0.785,0.852,0.82,3.0,0.773,Liberal Democracy
Ghana,GHA,7,2025,0.711,0.606,0.361,0.583,0.493,2.0,0.67,Electoral Democracy
South Africa,ZAF,8,2025,0.743,0.633,0.47,0.651,0.518,2.0,0.831,Electoral Democracy
Japan,JPN,9,2025,0.819,0.734,0.526,0.729,0.758,3.0,0.76,Liberal Democracy
Burma/Myanmar,MMR,10,2025,0.08,0.015,0.041,0.035,0.057,0.0,0.023,Closed Autocracy
Russia,RUS,11,2025,0.17,0.056,0.124,0.059,0.13,1.0,0.176,Electoral Autocracy
Albania,ALB,12,2025,0.484,0.382,0.29,0.236,0.351,1.0,0.76,Electoral Autocracy
Egypt,EGY,13,2025,0.187,0.115,0.076,0.12,0.106,1.0,0.075,Electoral Autocracy
Yemen,YEM,14,2025,0.127,0.043,0.072,0.039,0.033,0.0,0.24,Closed Autocracy
Colombia,COL,15,2025,0.679,0.555,0.467,0.458,0.405,2.0,0.599,Electoral Democracy
Poland,POL,17,2025,0.768,0.645,0.519,0.653,0.671,2.0,0.864,Electoral Democracy
Brazil,BRA,19,2025,0.784,0.704,0.528,0.707,0.54,2.0,0.849,Electoral Democracy
United States of America,USA,20,2025,0.735,0.571,0.51,0.481,0.472,2.0,0.397,Electoral Democracy
Portugal,PRT,21,2025,0.822,0.717,0.529,0.691,0.614,2.0,0.826,Electoral Democracy
El Salvador,SLV,22,2025,0.321,0.09,0.159,0.125,0.125,1.0,0.165,Electoral Autocracy
Bangladesh,BGD,24,2025,0.195,0.116,0.099,0.159,0.115,0.0,0.519,Closed Autocracy
Bolivia,BOL,25,2025,0.605,0.352,0.414,0.238,0.394,2.0,0.582,Electoral Democracy
Haiti,HTI,26,2025,0.238,0.098,0.119,0.195,0.076,0.0,0.69,Closed Autocracy
Honduras,HND,27,2025,0.511,0.38,0.32,0.358,0.256,2.0,0.931,Electoral Democracy
Mali,MLI,28,2025,0.164,0.15,0.164,0.208,0.171,0.0,0.281,Closed Autocracy
Pakistan,PAK,29,2025,0.302,0.176,0.192,0.182,0.123,1.0,0.268,Electoral Autocracy
Peru,PER,30,2025,0.667,0.506,0.448,0.377,0.388,2.0,0.838,Electoral Democracy
Senegal,SEN,31,2025,0.633,0.484,0.402,0.555,0.46,2.0,0.755,Electoral Democracy
South Sudan,SSD,32,2025,0.133,0.064,0.047,0.038,0.032,0.0,0.054,Closed Autocracy
Sudan,SDN,33,2025,0.13,0.034,0.051,0.023,0.078,0.0,0.206,Closed Autocracy
Vietnam,VNM,34,2025,0.146,0.102,0.164,0.181,0.163,0.0,0.222,Closed Autocracy
Afghanistan,AFG,36,2025,0.069,0.018,0.051,0.012,0.016,0.0,0.086,Closed Autocracy
Argentina,ARG,37,2025,0.69,0.524,0.429,0.41,0.5,2.0,0.625,Electoral Democracy
Ethiopia,ETH,38,2025,0.257,0.1,0.128,0.195,0.161,1.0,0.337,Electoral Autocracy
India,IND,39,2025,0.377,0.26,0.246,0.259,0.201,1.0,0.136,Electoral Autocracy
Kenya,KEN,40,2025,0.563,0.446,0.335,0.454,0.347,2.0,0.864,Electoral Democracy
North Korea,PRK,41,2025,0.083,0.014,0.044,0.011,0.093,0.0,0.036,Closed Autocracy
South Korea,KOR,42,2025,0.819,0.739,0.551,0.751,0.712,3.0,0.85,Liberal Democracy
Kosovo,XKX,43,2025,0.631,0.457,0.346,0.394,0.459,2.0,0.621,Electoral Democracy
Lebanon,LBN,44,2025,0.419,0.267,0.222,0.35,0.254,1.0,0.618,Electoral Autocracy
Nigeria,NGA,45,2025,0.505,0.311,0.323,0.348,0.317,2.0,0.876,Electoral Democracy
Philippines,PHL,46,2025,0.392,0.291,0.261,0.251,0.169,1.0,0.589,Electoral Autocracy
Tanzania,TZA,47,2025,0.365,0.297,0.245,0.29,0.318,1.0,0.515,Electoral Autocracy
Taiwan,TWN,48,2025,0.801,0.704,0.652,0.685,0.702,3.0,0.828,Liberal Democracy
Thailand,THA,49,2025,0.424,0.314,0.186,0.193,0.247,1.0,0.382,Electoral Autocracy
Uganda,UGA,50,2025,0.253,0.165,0.156,0.228,0.139,1.0,0.196,Electoral Autocracy
Venezuela,VEN,51,2025,0.181,0.042,0.148,0.023,0.08,1.0,0.129,Electoral Autocracy
Benin,BEN,52,2025,0.493,0.323,0.28,0.304,0.387,1.0,0.709,Electoral Autocracy
Bhutan,BTN,53,2025,0.566,0.457,0.349,0.503,0.463,2.0,0.401,Electoral Democracy
Burkina Faso,BFA,54,2025,0.134,0.103,0.104,0.048,0.157,0.0,0.562,Closed Autocracy
Cambodia,KHM,55,2025,0.183,0.051,0.06,0.079,0.084,1.0,0.216,Electoral Autocracy
Indonesia,IDN,56,2025,0.462,0.296,0.298,0.363,0.252,1.0,0.33,Electoral Autocracy
Mozambique,MOZ,57,2025,0.279,0.175,0.201,0.17,0.188,1.0,0.408,Electoral Autocracy
Nepal,NPL,58,2025,0.656,0.505,0.435,0.406,0.422,2.0,0.831,Electoral Democracy
Nicaragua,NIC,59,2025,0.151,0.019,0.098,0.017,0.085,1.0,0.019,Electoral Autocracy
Niger,NER,60,2025,0.227,0.177,0.189,0.253,0.214,0.0,0.689,Closed Autocracy
Zambia,ZMB,61,2025,0.497,0.375,0.348,0.412,0.266,1.0,0.844,Electoral Autocracy
Zimbabwe,ZWE,62,2025,0.268,0.147,0.202,0.22,0.135,1.0,0.157,Electoral Autocracy
Guinea,GIN,63,2025,0.187,0.095,0.12,0.095,0.149,0.0,0.301,Closed Autocracy
Ivory Coast,CIV,64,2025,0.394,0.228,0.262,0.241,0.237,1.0,0.575,Electoral Autocracy
Mauritania,MRT,65,2025,0.328,0.127,0.221,0.228,0.142,1.0,0.253,Electoral Autocracy
Canada,CAN,66,2025,0.84,0.736,0.589,0.677,0.626,2.0,0.854,Electoral Democracy
Australia,AUS,67,2025,0.844,0.793,0.648,0.771,0.726,3.0,0.864,Liberal Democracy
Botswana,BWA,68,2025,0.665,0.52,0.369,0.35,0.48,2.0,0.834,Electoral Democracy
Burundi,BDI,69,2025,0.185,0.06,0.142,0.066,0.096,1.0,0.144,Electoral Autocracy
