year,regime_label,count,share
1900,Closed Autocracy,97,0.8083333333333333
1900,Electoral Autocracy,18,0.15
1900,Electoral Democracy,3,0.025
1900,Liberal Democracy,2,0.016666666666666666
1901,Closed Autocracy,94,0.7833333333333333
1901,Electoral Autocracy,21,0.175
1901,Electoral Democracy,2,0.016666666666666666
1901,Liberal Democracy,3,0.025
1902,Closed Autocracy,96,0.7868852459016393
1902,Electoral Autocracy,20,0.16393442622950818
1902,Electoral Democracy,2,0.01639344262295082
1902,Liberal Democracy,4,0.03278688524590164
1903,Closed Autocracy,99,0.7857142857142857
1903,Electoral Autocracy,21,0.16666666666666666
1903,Electoral Democracy,2,0.015873015873015872
1903,Liberal Democracy,4,0.031746031746031744
1904,Closed Autocracy,100,0.78125
1904,Electoral Autocracy,21,0.1640625
1904,Electoral Democracy,3,0.0234375
1904,Liberal Democracy,4,0.03125
1905,Closed Autocracy,100,0.7874015748031497
1905,Electoral Autocracy,20,0.15748031496062992
1905,Electoral Democracy,3,0.023622047244094488
1905,Liberal Democracy,4,0.031496062992125984
1906,Closed Autocracy,100,0.78125
1906,Electoral Autocracy,20,0.15625
1906,Electoral Democracy,4,0.03125
1906,Liberal Democracy,4,0.03125
1907,Closed Autocracy,102,0.796875
1907,Electoral Autocracy,18,0.140625
1907,Electoral Democracy,4,0.03125
1907,Liberal Democracy,4,0.03125
1908,Closed Autocracy,103,0.8046875
1908,Electoral Autocracy,17,0.1328125
1908,Electoral Democracy,4,0.03125
1908,Liberal Democracy,4,0.03125
1909,Closed Autocracy,103,0.8046875
1909,Electoral Autocracy,17,0.1328125
1909,Electoral Democracy,4,0.03125
1909,Liberal Democracy,4,0.03125
1910,Closed Autocracy,103,0.7984496124031008
1910,Electoral Autocracy,18,0.13953488372093023
1910,Electoral Democracy,4,0.031007751937984496
1910,Liberal Democracy,4,0.031007751937984496
1911,Closed Autocracy,102,0.7786259541984732
1911,Electoral Autocracy,21,0.16030534351145037
1911,Electoral Democracy,4,0.030534351145038167
1911,Liberal Democracy,4,0.030534351145038167
1912,Closed Autocracy,99,0.75
1912,Electoral Autocracy,25,0.1893939393939394
1912,Electoral Democracy,4,0.030303030303030304
1912,Liberal Democracy,4,0.030303030303030304
1913,Closed Autocracy,99,0.75
1913,Electoral Autocracy,25,0.1893939393939394
1913,Electoral Democracy,3,0.022727272727272728
1913,Liberal Democracy,5,0.03787878787878788
1914,Closed Autocracy,100,0.7518796992481203
1914,Electoral Autocracy,26,0.19548872180451127
1914,Electoral Democracy,3,0.022556390977443608
1914,Liberal Democracy,4,0.03007518796992481
1915,Closed Autocracy,103,0.762962962962963
1915,Electoral Autocracy,25,0.18518518518518517
1915,Electoral Democracy,3,0.022222222222222223
1915,Liberal Democracy,4,0.02962962962962963
1916,Closed Autocracy,107,0.7753623188405797
1916,Electoral Autocracy,24,0.17391304347826086
1916,Electoral Democracy,4,0.028985507246376812
1916,Liberal Democracy,3,0.021739130434782608
1917,Closed Autocracy,105,0.7608695652173914
1917,Electoral Autocracy,26,0.18840579710144928
1917,Electoral Democracy,4,0.028985507246376812
1917,Liberal Democracy,3,0.021739130434782608
