year,v2xca_academ,v2x_libdem,v2x_polyarchy
1789,,0.284,0.346
1790,,0.283,0.347
1791,,0.283,0.347
1792,,0.285,0.351
1793,,0.285,0.351
1794,,0.286,0.351
1795,,0.286,0.352
1796,,0.286,0.353
1797,,0.286,0.355
1798,,0.278,0.347
1799,,0.274,0.344
1800,,0.282,0.343
1801,,0.289,0.356
1802,,0.29,0.361
1803,,0.289,0.361
1804,,0.287,0.354
1805,,0.286,0.351
1806,,0.286,0.352
1807,,0.287,0.352
1808,,0.286,0.353
1809,,0.286,0.353
1810,,0.286,0.352
1811,,0.286,0.352
1812,,0.286,0.352
1813,,0.285,0.352
1814,,0.288,0.356
1815,,0.288,0.356
1816,,0.288,0.355
1817,,0.288,0.355
1818,,0.289,0.357
1819,,0.289,0.358
1820,,0.286,0.352
1821,,0.283,0.346
1822,,0.283,0.345
1823,,0.283,0.345
1824,,0.283,0.345
1825,,0.283,0.346
1826,,0.283,0.346
1827,,0.284,0.346
1828,,0.297,0.353
1829,,0.297,0.353
1830,,0.3,0.358
1831,,0.302,0.363
1832,,0.302,0.362
1833,,0.312,0.362
1834,,0.314,0.367
1835,,0.316,0.368
1836,,0.316,0.368
1837,,0.315,0.368
1838,,0.313,0.368
1839,,0.313,0.369
1840,,0.306,0.355
1841,,0.299,0.342
1842,,0.299,0.342
1843,,0.299,0.343
1844,,0.299,0.342
1845,,0.299,0.341
1846,,0.297,0.337
1847,,0.294,0.331
1848,,0.294,0.331
1849,,0.294,0.331
1850,,0.293,0.33
1851,,0.293,0.33
1852,,0.294,0.331
1853,,0.295,0.332
1854,,0.294,0.33
1855,,0.293,0.327
1856,,0.293,0.327
1857,,0.293,0.327
1858,,0.293,0.327
1859,,0.293,0.328
1860,,0.296,0.328
1861,,0.295,0.331
1862,,0.3,0.337
1863,,0.302,0.339
1864,,0.301,0.337
1865,,0.3,0.336
1866,,0.32,0.336
1867,,0.32,0.337
1868,,0.32,0.338
1869,,0.32,0.339
1870,,0.323,0.342
1871,,0.319,0.335
1872,,0.319,0.335
1873,,0.318,0.334
1874,,0.318,0.334
1875,,0.318,0.333
1876,,0.318,0.332
1877,,0.314,0.326
1878,,0.315,0.327
1879,,0.318,0.334
1880,,0.318,0.333
1881,,0.318,0.334
1882,,0.318,0.333
1883,,0.317,0.331
1884,,0.316,0.33
1885,,0.315,0.327
1886,,0.314,0.325
1887,,0.316,0.332
1888,,0.316,0.33
1889,,0.312,0.323
1890,,0.312,0.323
1891,,0.316,0.329
1892,,0.316,0.329
1893,,0.316,0.331
1894,,0.319,0.335
1895,,0.339,0.37
1896,,0.353,0.395
1897,,0.363,0.412
1898,,0.364,0.413
1899,,0.367,0.419
1900,0.732,0.367,0.419
1901,0.732,0.367,0.421
1902,0.732,0.368,0.421
1903,0.732,0.367,0.421
1904,0.732,0.367,0.421
1905,0.732,0.366,0.418
1906,0.732,0.367,0.418
1907,0.732,0.367,0.42
1908,0.732,0.367,0.42
1909,0.732,0.366,0.419
1910,0.732,0.368,0.421
1911,0.732,0.374,0.427
1912,0.732,0.373,0.426
1913,0.732,0.374,0.424
1914,0.721,0.369,0.418
1915,0.71,0.372,0.422
1916,0.71,0.371,0.419
1917,0.692,0.359,0.402
1918,0.687,0.358,0.403
